Quote
Be yourself; everyone else is already taken.
"m selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can"
t deserve me at my best.
"So many books, so little time."
Two things are infinite: the universe and human stupidity; and I
"―Albert Einsteintags:attributed-no-source,human-nature,humor,infinity,philosophy,science,stupidity,universe148920 likesLike"
"―Marcus Tullius Cicerotags:attributed-no-source,books,simile,soul135979 likesLike"
"t matter, and those who matter don"
"―Bernard M. Baruchtags:ataraxy,be-yourself,confidence,fitting-in,individuality,misattributed-dr-seuss,those-who-matter130559 likesLike"
ve gotta dance like there
"ll never be hurt,Sing like there"
"―William W. Purkeytags:dance,heaven,hurt,inspirational,life,love,sing129293 likesLike"
re in love when you can
"―Dr. Seusstags:attributed-no-source,dreams,love,reality,sleep127627 likesLike"
"―Mae Westtags:humor,life119506 likesLike"
"―Mahatma Gandhitags:action,change,inspirational,misattributed-to-gandhi,philosophy,wish114667 likesLike"
ve learned about life: it goes on.
If you want to know what a man
"―J.K. Rowling,Harry Potter and the Goblet of Fire101762 likesLike"
"―Albert Camustags:attributed-no-source,friends,friendship,misattributed-albert-camus93846 likesLike"
t have to remember anything.
"ve learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel."
Friendship ... is born at the moment when one man says to another
"―C.S. Lewis,The Four Lovestags:friendship88236 likesLike"
―Oscar Wilde85270 likesLike
―Elbert Hubbard84436 likesLike
"―Oscar Wildetags:attributed-no-source,enemies,forgiveness,strategy82057 likesLike"
"―Martin Luther King Jr.,A Testament of Hope: The Essential Writings and Speechestags:darkness,drive-out,hate,inspirational,light,love,peace78592 likesLike"
"―Mahatma Gandhitags:carpe-diem,education,inspirational,learning77926 likesLike"
"―Stephen Chbosky,The Perks of Being a Wallflowertags:inspirational,love76912 likesLike"
"―Friedrich Nietzsche,Twilight of the Idolstags:inspirational,music,philosophy74615 likesLike"
t understand a single word of what I am saying.
To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.
s to the crazy ones. The misfits. The rebels. The troublemakers. The round pegs in the square holes. The ones who see things differently. They
―Steve Jobs68322 likesLike
"―Narcotics Anonymoustags:humor,insanity,life,misattributed-ben-franklin,misattributed-mark-twain,misattributed-to-einstein64772 likesLike"
"―Andre Gide,Autumn Leavestags:life,love62491 likesLike"
"re right, you believe lies so you eventually learn to trust no one but yourself, and sometimes good things fall apart so better things can fall together."
Twenty years from now you will be more disappointed by the things that you didn
A room without books is like a body without a soul.
"Be who you are and say what you feel, because those who mind don"
"You only live once, but if you do it right, once is enough."
Be the change that you wish to see in the world.
In three words I can sum up everything I
Don’t walk in front of me… I may not followDon’t walk behind me… I may not leadWalk beside me… just be my friend
"If you tell the truth, you don"
"To live is the rarest thing in the world. Most people exist, that is all."
A friend is someone who knows all about you and still loves you.
Always forgive your enemies; nothing annoys them so much.
Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.
Live as if you were to die tomorrow. Learn as if you were to live forever.
We accept the love we think we deserve.
"Without music, life would be a mistake."
I am so clever that sometimes I don
"Insanity is doing the same thing, over and over again, but expecting different results."
It is better to be hated for what you are than to be loved for what you are not.
"I believe that everything happens for a reason. People change so that you can learn to let go, things go wrong so that you appreciate them when they"
